,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
1,0,7,45.0,45.0,0.375,0.75
2,0,13,45.0,45.0,0.375,0.75
3,0,18,22.5,22.5,0.1875,0.375
4,0,16,10.0,10.0,0.0,1.0
5,0,20,0.0,0.0,0.0,0.0
6,0,16,0.0,0.0,0.0,0.0
8,0,6,0.0,0.0,0.0,0.0
9,0,17,-5.708333333333335,-5.708333333333335,-0.07777777777777779,0.20694444444444446
10,0,12,-33.0,-33.0,-0.4,0.7
11,0,12,0.0,0.0,0.0,0.0
12,0,10,11.0,11.0,0.1,0.1
13,0,10,52.5,52.5,0.4375,0.875
14,0,14,-8.75,-8.75,-0.125,0.375
15,0,25,0.0,0.0,0.0,0.0
16,0,23,40.5,40.5,0.35,0.55
17,0,11,0.0,0.0,0.0,0.0
18,0,13,0.0,0.0,0.0,0.0
19,0,13,55.0,55.0,0.5,0.5
20,0,13,-43.0,-43.0,-0.5,0.7
21,200,16,-6.0,194.0,-0.1,0.4
22,0,14,0.0,0.0,0.0,0.0
23,0,17,0.0,0.0,0.0,0.0
24,0,15,0.0,0.0,0.0,0.0
25,0,2,0.0,0.0,0.0,0.0
26,0,15,1.2499999999999987,1.2499999999999987,-0.02500000000000001,0.37499999999999994
27,200,20,70.0,270.0,0.6,1.0
28,0,1,0.0,0.0,0.0,0.0
30,0,17,0.0,0.0,0.0,0.0
31,0,10,60.0,60.0,0.5,1.0
32,0,24,29.642857142857146,29.642857142857146,0.2619047619047619,0.3452380952380952
33,0,3,0.0,0.0,0.0,0.0
34,0,19,-40.0,-40.0,-0.5,1.0
35,0,14,0.0,0.0,0.0,0.0
36,200,11,-3.0,197.0,-0.05,0.2
38,0,11,60.0,60.0,0.5,1.0
39,0,10,22.0,22.0,0.2,0.2
40,0,6,0.0,0.0,0.0,0.0
41,0,16,-9.153846153846152,-9.153846153846152,-0.11794871794871792,0.2641025641025641
42,0,19,0.0,0.0,0.0,0.0
43,0,10,0.0,0.0,0.0,0.0
44,0,12,0.0,0.0,0.0,0.0
45,0,19,0.625,0.625,-0.0625,0.6875
46,0,19,-20.0,-20.0,-0.2,0.0
47,0,15,-8.75,-8.75,-0.125,0.375
48,0,20,11.5,11.5,0.1,0.15000000000000002
49,0,18,0.6666666666666666,0.6666666666666666,0.0,0.06666666666666667
50,200,13,-12.33333333333333,187.66666666666666,-0.16666666666666666,0.43333333333333335
51,0,14,22.0,22.0,0.2,0.2
52,0,3,0.0,0.0,0.0,0.0
53,0,15,0.0,0.0,0.0,0.0
54,0,16,40.0,40.0,0.3333333333333333,0.6666666666666667
55,0,12,0.0,0.0,0.0,0.0
56,0,15,0.0,0.0,0.0,0.0
57,0,10,0.0,0.0,0.0,0.0
58,200,12,0.0,200.0,0.0,0.0
59,0,1,0.0,0.0,0.0,0.0
60,0,14,0.0,0.0,0.0,0.0
61,0,20,-40.0,-40.0,-0.5,1.0
62,0,14,0.0,0.0,0.0,0.0
63,0,21,0.0,0.0,0.0,0.0
64,0,12,69.75,69.75,0.625,0.725
65,0,13,0.0,0.0,0.0,0.0
66,0,13,0.0,0.0,0.0,0.0
